曜日,時限,科目名,担当教員,教室,学年,学期,単位,区分,URL,成績評価
金,"4","ガスタービン・ジェットエンジン概論","佐藤　哲也","",3,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604023012012026260402301226&pLng=jp","割合\n評価基準\n\n\n試験:\n\n75％\n\nジェットエンジン・ガスタービンに関する基本的な知識を問う試験を行う。最終講義の時に実施する教場試験を必ず受けること。\n平常点評価:\n\n25％\n\n出席点および毎回理解確認のための演習問題を実施する。演習問題を4回以上提出しなかった場合には、試験の成績によらず不合格とする。"
水,"3","燃焼工学","内藤　健","",3,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604023013012026260402301326&pLng=jp","割合\n評価基準\n\n\n試験:\n\n\n授業中に、演習・小テストを行う。（予定）\nレポート:\n\n\nレポートを課す。（予定）\n平常点評価:\n\n\n考慮する。（予定）"
月,"3","破壊力学","川田　宏之／細井　厚志","",3,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604023014012026260402301426&pLng=jp","割合\n評価基準\n\n\n試験:\n\n70％\n\n教場試験を実施する。\nレポート:\n\n0％\n\n特になし。\n平常点評価:\n\n30％\n\n出席点を考慮する。数回の課題を課す。総合点で合格点に達していても、極端に平常点が低い場合は不合格となる場合がある。\nその他:\n\n0％\n\n特になし"
金,"5","航空構造力学","荒尾　与史彦／川田　宏之／中村　俊哉","",3,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604023015012026260402301526&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n80％\n\n課題レポート提出\n平常点評価:\n\n20％\n\n出席率と授業中の発言により評価"
木,"1","塑性力学・塑性加工学","権藤　詩織／鈴木　進補","",3,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604024006012026260402400626&pLng=jp","・第14回　期末試験\n・第2-13回　小テスト\n・期末試験50％，小テストの総合点50％"
水,"2","機械設計法Ａ","金井　晴詩／竹澤　晃弘／日比野　正／宮崎　裕也","",4,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604022002012026260402200226&pLng=jp","全ての課題を提出し，合格したものに，単位を与える．"
水,"1,2","電子・電機実験","山口　誠一","",4,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604023009012026260402300926&pLng=jp","実験ノート：７０％\n実験ノートの内容より成績評価を行う\n実験ノートの提出がない場合は、成績評価の対象外とする\n\n課題の提出：３０％\n各実験で指定された課題の提出を行う\n課題の提出がない場合は、成績評価の対象外とする"
火,"4","制御系の設計と応用","天野　嘉春／鈴木　太郎","",4,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604023010012026260402301026&pLng=jp","割合\n評価基準\n\n\n試験:\n\n60％\n\n到達度規準の絶対評価\n最終回は教場試験を実施し，理解度を確認する．\nレポート:\n\n40％\n\n到達度規準の絶対評価\n毎回，授業時に課題を提示します．与えられた課題は次回の授業直前に提出すること．"
月,"2","高速流体力学","太田　有／手塚　亜聖／藤澤　信道","",4,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604023011012026260402301126&pLng=jp","割合\n評価基準\n\n\n試験:\n\n80％\n\n期末試験を実施する予定である．受講者の理解度によっては期末試験を実施せず，レポート課題を提出する場合もある．\n\nレポート:\n\n20％\n\n受講者の理解度を確認するために，講義中に演習を実施し，レポート課題とする場合がある．\n\nその他:\n\n\n評価基準は，受講生の理解度や講義の進捗状況によって適宜変更する場合があるが，その場合には講義中ならびにWaseda Moodleによって必ず事前に通知します．"
火,"5","統計力学","柳尾　朋洋","",4,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604023018012026260402301826&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n100％\n\n授業で学ぶ基本事項を，数回に分けて確認し考察する．"
