曜日,時限,科目名,担当教員,教室,学年,学期,単位,区分,URL,成績評価
木,"2","システム制御と機械学習","渡邉　孝信","",3,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605023020012026260502302026&pLng=jp","割合\n評価基準\n\n\n試験:\n\n80％\n\n理解度確認試験で評価する。\n平常点評価:\n\n20％\n\n授業への取り組みから総合的に評価する。"
木,"5,6","IoTシステム設計","笠原　博徳／木村　啓二／史　又華／戸川　望／山名　早人","",3,"spring",3,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603034039012026260303403926&pLng=jp","毎回の実習の進捗レポート及び各グループが実際に制作したシステムを成果物として要求し，これら成果物100%により最終評価を決定する．\n成果物は全ての提出が必要である．"
日,"1","細胞生物学Ａ　電子物理","大竹　和正","",3,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600240003012026260024000326&pLng=jp","第6週目、第10週目および第14週目にオンラインでの理解度の確認を行い評価する。\n(前述の通り実施形式および実施週に変更可能性があるので注意)\nオンデマンド教材の視聴状況を平常点として評価する。\n平常点 40%\n理解度の確認 60%\n\n各種状況により理解度確認回の変更や小レポート等の出題を行うことがある。"
金,"2","情報理論","及川　靖広","",3,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605012005012026260602303326&pLng=jp","割合\n評価基準\n\n\n試験:\n\n60％\n\n到達度を理解度確認にて評価\nレポート:\n\n20％\n\n理解度を課題にて評価\n平常点評価:\n\n20％\n\n出席率と課題への取り組み方を評価"
木,"2","量子化学","国吉　ニルソン／山本　知之","",3,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605023004012026260502300426&pLng=jp","割合\n評価基準\n\n\n試験:\n\n80％\n\n第4週と第14週に理解度確認試験を実施します．\nレポート:\n\n0％\n\n成績評価には入れません．\n平常点評価:\n\n20％\n\n毎回の講義後に小テストを課し，それを採点します．\nその他:\n\n0％\n\n成績評価には入れません．"
水,"2","伝送理論","笠　史郎","",3,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605023005012026260502300526&pLng=jp","割合\n評価基準\n\n\n試験:\n\n80％\n\n授業の中間時点で中間試験，最終回に期末試験を行う。試験は授業で学習した重要事項について、きちんと習得しているかどうかを評価する視点で行う。難問・奇問は出題しないが、基礎事項が習得できていないと合格点は取れないので、授業で説明した基礎事項の習得に全力を尽くすこと。中間試験，期末試験結果の成績への反映割合は，中間試験40%，期末試験40%とする。\n平常点評価:\n\n20％\n\n原則として毎回の授業において、リアクションペーパー（Reaction paper）を出題する。リアクションペーパーの提出状況、記載内容を元に、平常点評価を行う。"
水,"4","固体物理","谷村　誠／乗松　航","",3,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605023007012026260502300726&pLng=jp","試験:40％　授業内容の理解度を評価するため、理解度確認試験を行う。 \n平常点評価:60％　出席・課題により評価する。"
火,"4","電磁気学Ｃ","小西　毅","",3,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605023016012026260502301626&pLng=jp","理解度確認試験、出席、レポートにより総合的に評価する。"
月,"4","相平衡","","",3,"",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605023019012026260502301926&pLng=jp",""
日,"2","マイクロ波フォトニクス","川西　哲也","",3,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605023021012026260502302126&pLng=jp","小テストとレポートによる"
