曜日,時限,科目名,担当教員,教室,学年,学期,単位,区分,URL,成績評価
火,"5","ディジタル信号処理","笠井　裕之／甲藤　二郎","",3,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603033022012026260303302226&pLng=jp","割合\n評価基準\n\n\n試験:\n\n90％\n\n前半（笠井裕之担当）\n50%：第7回に行う理解度の確認により評価する。\n\n後半（甲藤二郎担当）\n40%：第14回に行う理解度の確認により評価する。\nレポート:\n\n10％\n\n後半（甲藤二郎担当）\n10%：システムを用いた小テストやレポートによって評価を行なう。"
月,"5","無線通信技術","嶋本　薫","",3,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603033032012026260702302126&pLng=jp","割合\n評価基準\n\n\n試験:\n\n80％\n\n理解度確認試験あるいはレポートを行う。\nレポート:\n\n20％\n\n時間軸でのALOHA方式、TDMA方式のシミュレーションを行う。"
木,"1","データマイニング","平手　勇宇／山名　早人","",3,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603034006012026260303400626&pLng=jp","割合\n評価基準\n\n\n試験:\n\n0％\n\nnone\nレポート:\n\n25％\n\nReport assignment is provided once during the course.\n平常点評価:\n\n25％\n\nDiscussions during the classes, i.e., how actively discussed during each class.\n\nその他:\n\n50％\n\nYour presentation： (your presentation slides should be uploaded to Waseda Moodle)\nThe presentation is based on your survey or paper reading related to Data Mining.\nEvaluation Criteria:\n1) Preparation of presentation materials\n2) Presentation Technique\n3) Content\n4) Ability to answer questions"
金,"3","グローバルビジネス世界における、サイバーセキュリティを考える","内田　真人／高田　雄太／森　達哉／渡邉　卓弥","",3,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603034050012026260303405026&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n60％\n\n小テストおよび期末レポートの合計3件の内容を評価します。\n平常点評価:\n\n40％\n\n講義への出席を評価します。"
木,"5","情報社会論","太田　啓路／シモセラ　エドガー／園田　智也","",3,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603032003012026260303200326&pLng=jp","全講義の 2/3 以上に出席していることを単位取得の前提とする。\n１〜２回のレポート。"
金,"3","高性能計算","長谷川　秀彦","",3,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603033005012026260026001226&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n90％\n\n３回程度の課題レポートにもとづいて評価します。平常点評価の条件をクリアしていることが前提です。\n平常点評価:\n\n10％\n\n講義を聞いていたかどうかを確認するための出席課題（小テスト）に 2/3 以上回答していることを、レポート評価の前提条件とします。\nいくらレポートがよくできていても出席課題に回答していなければ不合格となります。\nなお、合理的な・ありうる間違った回答は出席としますが、白紙回答などは欠席とみなします。"
水,"4","光通信技術","森田　逸郎","",3,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603033034012026260702303526&pLng=jp","割合\n評価基準\n\n\n試験:\n\n60％\n\n第7週および第14週の授業時間中に試験を実施し、理解度の確認を行う。（試験の解説も同時間内に行う。\n（中間：30%、期末：30%）\n平常点評価:\n\n40％\n\n各授業の理解度を確認するために行う演習により評価する。"
金,"3","マルチメディア工学Ｂ","甲藤　二郎／渡辺　裕","",3,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603033010012026260701300926&pLng=jp","割合\n評価基準\n\n\n試験:\n\n80％\n\n基本的な知識を問う理解度の確認を行う。第7回、第14回の講義日に理解度の確認を行う。\n\nExaminations are carried out to confirm basic knowledge and understanding. \nレポート:\n\n20％\n\n授業期間中に、必要に応じて Moodle を用いた小テストやレポート提出を行う。\n\nShort test and/or report submission on Moodle will be carried out."
水,"1","情報理工・情報通信ラボ","","",3,"",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603033012012026260701301126&pLng=jp",""
月,"5","オペレーティングシステムＢ","佐古　和恵／中島　達夫","",3,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603033020012026260303302026&pLng=jp","プログラミング演習と相互評価レポート 60% \nレポート 40% (2つのレポート）"
