曜日,時限,科目名,担当教員,教室,学年,学期,単位,区分,URL,成績評価
火,"5","統計・パターン認識","尾崎　知伸","",2,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606023029012026260602302926&pLng=jp","割合\n評価基準\n\n\n試験:\n\n100％\n\n第14回の授業時間内に試験を実施し、理解度の確認を行う。\nなお、毎回の授業にて課すミニ課題や演習の提出状況が悪い場合は、減点の対象となりうる。"
金,"2","情報理論","及川　靖広","",2,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606023033012026260602303326&pLng=jp","割合\n評価基準\n\n\n試験:\n\n60％\n\n到達度を理解度確認にて評価\nレポート:\n\n20％\n\n理解度を課題にて評価\n平常点評価:\n\n20％\n\n出席率と課題への取り組み方を評価"
月,"5","応用音響","津國　和泉","",2,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606023034012026260602303426&pLng=jp","期末理解度：授業課題＝8:2 で評価します。"
水,"4","メディアエルゴノミクス","河合　隆史","",3,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606023025012026260602302526&pLng=jp","割合\n評価基準\n\n\n試験:\n\n50％\n\n講義内容の理解度など\nレポート:\n\n30％\n\n各課題に対する着想など\n平常点評価:\n\n20％\n\n出席など"
火,"5,6","バーチャルリアリティ制作","河合　隆史／伴地　芳啓","",3,"spring",4,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606023026012026260602302626&pLng=jp","割合\n評価基準\n\n\n平常点評価:\n\n20％\n\n授業時間内の実習状況について評価する．\n　＊資料に書かれた機能を使いこなしているか？\n　＊資料に書かれた練習用コンテンツを様々に発展させているか？\nその他:\n\n80％\n\n制作課題点（レポート含む）を評価する\n　＊各課題で指示した機能等の十分盛り込んでいるか（指示充足度）．\n　＊各課題に対して，要件も満たすだけではなく，創作的な制作物となっているか（創作性）．\n　＊最終報告でのプレゼンテーションも評価に加える．"
金,"3","インタラクティブ・センシング","赤川　智洋／尾形　哲也／橋田　朋子","",3,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606023027012026260602302726&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n20％\n\n講義に関連したレポート\n平常点評価:\n\n30％\n\n講義中の演習\nその他:\n\n50％\n\n最終デモンストレーション内容\n出席：欠席３回以内まで単位を認める．（遅刻（1分以上）は0.5回としてカウントします）"
金,"4","音声処理","大川　茂樹","",3,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606023037012026260602303726&pLng=jp","大レポート50%、小レポート（平常点）50%で評価する。"
月,"4","動的知能表現システム基礎","尾形　哲也／中條　亨一","",3,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606023048012026260602304826&pLng=jp","割合\n評価基準\n\n\n試験:\n\n50％\n\n対面による教場試験\nレポート:\n\n25％\n\n必要に応じてレポート課題を課します\n平常点評価:\n\n25％\n\n授業中の質問（コメント）内容など"
金,"1","CGプログラミング","福里　司","",3,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606023009012026260602300926&pLng=jp","授業内で行う演習の結果（制作物）の提出と、期末レポートで評価を行う。"
火,"6","認知実験デザイン論","河原　美彩子／渡邊　克巳","",3,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606023054012026260602305426&pLng=jp","課題とプレゼンテーション：60％\n平常点（議論への参加度など）：40％\n\nClass assignment and final presentation [must]: 60%\nParticipation: 40%"
火,"2","音コミュニケーション","及川　靖広","",3,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606023038012026260602303826&pLng=jp","割合\n評価基準\n\n\n試験:\n\n40％\n\n到達度を発表にて評価\nレポート:\n\n40％\n\n課題の理解度を評価\n平常点評価:\n\n20％\n\n出席率と課題への取り組み方を評価"
